schema_name,relation_name,column_name,required,evidence_types,source_files
public,app_blank_inventory_overview_v2,blank_product_name,True,order,src/lib/inventoryApi.js
public,app_synced_inventory_catalog_v1,name,True,order,src/lib/inventoryApi.js
public,bin_blank_inventory_contents,bin_code,True,order,src/PullSheetView.jsx | src/lib/inventoryApi.js
public,bin_blank_inventory_contents,bin_id,True,filter,src/PullSheetView.jsx | src/lib/inventoryApi.js
public,bin_blank_inventory_contents,blank_product_id,True,filter,src/PullSheetView.jsx | src/lib/inventoryApi.js
public,bin_blank_inventory_contents,quantity_on_hand,True,filter,src/PullSheetView.jsx | src/lib/inventoryApi.js
public,bin_blank_inventory_contents,sku_base,True,order,src/PullSheetView.jsx | src/lib/inventoryApi.js
public,bins,bin_code,True,order | select,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,bins,created_at,True,select,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,bins,display_order,True,order | select | update,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,bins,id,True,filter | select,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,bins,label,True,select,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,bins,location,True,select,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,bins,nfc_url,True,select,src/AddItemToBin.jsx | src/SampleInventory.jsx | src/lib/inventoryApi.js | src/lib/manualOrdersApi.js
public,blank_inventory_by_product,name,True,order,src/lib/inventoryApi.js
public,blank_inventory_movements,bin_id,True,filter | select,src/lib/inventoryApi.js
public,blank_inventory_movements,blank_product_id,True,relationship | select,src/lib/inventoryApi.js
public,blank_inventory_movements,created_at,True,order,src/lib/inventoryApi.js
public,blank_inventory_movements,quantity_change,True,select,src/lib/inventoryApi.js
public,blank_products,barcode,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,blank_products,brand_id,True,filter | relationship | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/AddItemToBin.jsx | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
